             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
             95463 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95464 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95465 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95466 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95467 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95468 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95469 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95470 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95471 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95478 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95479 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95480 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95481 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95482 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95483 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95484 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95485 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95486 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95487 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95488 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95489 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95490 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95491 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95492 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95493 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95494 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95495 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95496 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
