             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
            168599 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168600 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168601 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168602 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168603 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168604 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168605 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168606 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168607 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168608 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168609 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168610 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168611 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168612 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168613 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168614 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168615 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168616 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168617 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168618 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168619 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168620 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168621 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168622 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168623 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168624 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168625 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168626 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168627 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168628 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168629 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168630 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168631 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168632 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168633 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168634 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168635 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168636 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168637 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168638 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168639 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168640 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168641 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168642 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168643 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168644 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168645 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168646 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168647 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168648 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168649 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168650 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168651 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168652 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168653 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168654 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168655 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168656 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168657 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168658 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168659 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168660 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168661 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168662 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168663 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168664 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168665 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168666 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168667 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168668 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168669 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168670 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168671 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168672 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168673 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168674 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168675 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168676 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168677 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168678 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168679 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168680 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168681 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168682 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168683 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168684 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168685 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168686 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168687 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168688 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168689 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168690 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168691 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168692 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168693 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168694 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            168695 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
